@relation caracteristicas

@attribute chromagram real
@attribute rms real
@attribute spectral_centroid real
@attribute spectral_bandwidth real
@attribute rolloff_frequency real
@attribute zero_crossing_rate real
@attribute mel_frequency_cepstral_coefficients_1 real
@attribute mel_frequency_cepstral_coefficients_2 real
@attribute mel_frequency_cepstral_coefficients_3 real
@attribute mel_frequency_cepstral_coefficients_4 real
@attribute mel_frequency_cepstral_coefficients_5 real
@attribute mel_frequency_cepstral_coefficients_6 real
@attribute mel_frequency_cepstral_coefficients_7 real
@attribute mel_frequency_cepstral_coefficients_8 real
@attribute mel_frequency_cepstral_coefficients_9 real
@attribute mel_frequency_cepstral_coefficients_10 real
@attribute mel_frequency_cepstral_coefficients_11 real
@attribute mel_frequency_cepstral_coefficients_12 real
@attribute mel_frequency_cepstral_coefficients_13 real
@attribute mel_frequency_cepstral_coefficients_14 real
@attribute mel_frequency_cepstral_coefficients_15 real
@attribute mel_frequency_cepstral_coefficients_16 real
@attribute mel_frequency_cepstral_coefficients_17 real
@attribute mel_frequency_cepstral_coefficients_18 real
@attribute mel_frequency_cepstral_coefficients_19 real
@attribute mel_frequency_cepstral_coefficients_20 real
@attribute label {cat, dog}

@data
0.4902681,0.028361706,1532.4459831084885,1642.5056427617455,3179.825492527174,0.07707160649585922,-316.0102,130.9508,-19.625652,37.887035,-7.2025294,14.09485,-9.078204,3.250739,-1.6972312,-0.23110892,3.2317526,-3.216666,1.5898417,-9.186468,-0.0861099,-5.7221255,-0.044562723,-5.097544,-2.049219,-0.26275212,cat
0.3420502,0.101433724,2585.100473509308,1660.5557321520096,4447.616644965277,0.17215470679012346,-289.78433,19.93292,-87.98626,26.221779,-32.78115,15.979036,-28.917576,9.893177,6.3863883,4.214935,0.07474019,-3.4339359,2.9119327,-17.241531,5.861964,-9.826478,7.310464,11.654932,17.640865,17.503517,cat
0.2577146,0.22421421,1884.100373851767,1532.0068652787465,3504.52880859375,0.11050851004464286,-194.15608,96.25028,-44.438072,41.62685,-21.592196,19.3491,-0.28807047,0.6055945,-5.8012137,-5.303532,10.850778,4.3630033,27.802233,1.956935,-15.019845,-15.748175,-13.176622,4.2476873,1.654975,-18.195438,cat
0.39775315,0.0649293,1908.8523201376568,1700.5592093618377,3715.8667779737902,0.11223873015372984,-260.6389,90.66974,-41.66964,0.6747407,-28.410786,1.0206532,-18.48916,-11.60791,-4.778861,-7.1622815,-8.6248665,-12.645851,-3.5641088,-12.358791,-3.8252864,-5.3128295,-3.439565,-2.4511778,-2.4120982,1.5701109,cat
0.36533934,0.052009348,1756.3887315201534,1624.0410931994436,3353.8731343877294,0.10062671047606925,-280.03094,109.93842,-48.041943,5.4553084,-34.924095,6.428155,-21.479692,-9.509962,-6.8775043,-5.5386868,-6.5463524,-13.659315,-4.866991,-14.709802,-3.6117394,-7.1061215,1.3116527,-0.5997969,4.544626,8.665427,cat
0.39129776,0.04492609,1759.4302366407303,1635.5760500563908,3393.270454923235,0.10230767196566731,-283.51312,110.42778,-46.49463,8.091955,-31.841408,5.1328683,-21.695278,-8.383385,-6.3380165,-6.32802,-7.0037055,-13.943419,-4.845384,-13.6661625,-2.0679014,-4.145746,4.4530025,0.03173263,1.8833696,4.3572006,cat
0.56154555,0.027399026,1813.1100390651857,1952.4473737340065,4123.3565481085525,0.08208169621101365,-289.86835,122.63435,-35.037952,58.136917,-17.889843,39.657642,-12.85813,21.474096,-2.433627,10.11219,7.3455644,-3.6225593,7.1288013,-8.936883,10.892452,-5.616647,8.42565,-5.224138,3.7619328,-0.7668543,cat
0.58323973,0.033950534,1778.4618266130537,1903.2877148143677,3955.382852166949,0.07669793429642166,-273.31912,124.51582,-42.301212,61.78403,-16.230396,41.39082,-13.816266,20.597937,-3.2715454,11.048038,7.05757,-3.676232,6.6334867,-8.980494,12.618555,-5.5197377,8.346715,-5.0048857,5.0811954,-0.37136894,cat
0.58000404,0.037892327,1700.9123768053046,1864.6194053634765,3757.0857920545213,0.07183023301499034,-262.1302,126.19409,-36.404297,57.451515,-11.363729,39.777245,-12.216234,16.068974,-4.643462,7.7997923,4.9934015,-6.574248,3.5364537,-7.8563385,12.614544,-4.815083,7.7750716,-3.8630016,4.157643,0.13275722,cat
0.33315602,0.14497483,2197.4421073730755,1495.8473338991832,3663.6280473456327,0.15577348456325302,-261.01425,68.59294,-68.434715,57.709442,-30.124811,17.513027,3.36329,11.571772,20.188723,26.53432,28.560873,8.683685,6.4038806,-19.294655,-3.0212815,7.6224456,13.05922,1.3934095,3.1641207,21.3464,cat
0.2805958,0.14193167,1363.7898992847258,1330.4725297313491,2729.3547739624505,0.06893643465909091,-356.58865,76.13275,-5.358262,-4.0103765,-16.311956,-3.74797,-5.675369,-29.180645,-19.022388,-10.830218,-9.634766,-1.868703,-7.8678136,-8.133231,1.452122,5.5124445,11.203423,14.771489,13.199371,4.228614,cat
0.46342242,0.013113378,1162.6942182748548,1486.1551834923723,2498.247240313709,0.0496752976910058,-370.4665,118.29724,12.055739,15.983204,16.898142,-1.1280435,-7.200597,-2.8617578,-13.1109,-12.339884,-1.65393,-9.342198,-11.906274,-7.0987177,-9.608956,-9.242673,-5.124139,-6.686597,-7.8515434,-8.323053,cat
0.4269839,0.095940426,1722.1695614211565,1801.4497043702165,3363.0033403913553,0.09009701737733646,-332.89297,89.67001,57.64447,21.382065,-39.88327,12.75407,-7.3690734,4.2115617,-13.110276,-5.817757,-0.37254402,-3.3692322,13.683493,-5.2835975,5.5591784,8.535848,7.061221,5.7217402,2.5802264,-7.3576016,cat
0.48675236,0.019414047,1627.5099426636757,1883.5165653837557,3727.626665900735,0.08321297268907563,-297.32498,155.06842,-32.694813,50.443317,-40.50988,42.036167,-24.021818,19.510347,-10.98867,9.666483,4.7383785,-0.08649004,12.809591,-10.336919,11.818056,-12.261502,8.626073,-8.841339,2.176637,-3.3973536,cat
0.49853167,0.030543197,1771.6168705839045,1821.827354971612,3926.0947779605262,0.09313988639132553,-384.4811,65.77866,13.5444975,18.835863,11.812515,10.3055,10.614185,8.983645,4.988056,1.180532,4.3284025,2.8066883,0.99499357,0.33082262,0.3794238,3.7364447,6.2003717,5.608107,2.566203,-1.9192688,cat
